#ensembl_gene_id	group
ENSG00000257261	lncRNA_Down
ENSG00000272720	lncRNA_Down
ENSG00000232490	lncRNA_Down
ENSG00000214708	lncRNA_Down
ENSG00000224032	lncRNA_Down
ENSG00000214548	lncRNA_Up
ENSG00000267886	lncRNA_Up
ENSG00000230630	lncRNA_Up
ENSG00000215386	lncRNA_Up
ENSG00000237945	lncRNA_Up
ENSG00000279184	lncRNA_Up
ENSG00000237438	lncRNA_Up
ENSG00000278811	lncRNA_Up
ENSG00000279873	lncRNA_Up
ENSG00000111816	protein_coding_Down
ENSG00000185261	protein_coding_Down
ENSG00000109501	protein_coding_Down
ENSG00000101940	protein_coding_Down
ENSG00000182107	protein_coding_Down
ENSG00000197375	protein_coding_Down
ENSG00000144645	protein_coding_Down
ENSG00000234745	protein_coding_Down
ENSG00000189334	protein_coding_Down
ENSG00000132692	protein_coding_Down
ENSG00000104312	protein_coding_Down
ENSG00000173801	protein_coding_Down
ENSG00000149428	protein_coding_Down
ENSG00000149115	protein_coding_Down
ENSG00000110455	protein_coding_Down
ENSG00000123989	protein_coding_Down
ENSG00000102871	protein_coding_Down
ENSG00000145103	protein_coding_Down
ENSG00000153815	protein_coding_Down
ENSG00000213699	protein_coding_Down
ENSG00000134684	protein_coding_Down
ENSG00000178826	protein_coding_Down
ENSG00000168016	protein_coding_Down
ENSG00000167925	protein_coding_Down
ENSG00000073169	protein_coding_Down
ENSG00000167244	protein_coding_Up
ENSG00000163220	protein_coding_Up
ENSG00000126778	protein_coding_Up
ENSG00000138829	protein_coding_Up
ENSG00000168280	protein_coding_Up
ENSG00000168542	protein_coding_Up
ENSG00000074370	protein_coding_Up
ENSG00000079931	protein_coding_Up
ENSG00000101210	protein_coding_Up
ENSG00000196074	protein_coding_Up
ENSG00000128918	protein_coding_Up
